,Year,Country,Type,Sex,Pdf
2918,1998,AUSTRALIA,Unprovoked,F,1998.12.22-O'Leary.pdf
2919,1998,AUSTRALIA,Unprovoked,F,1998.12.15-female surfer.pdf
2920,1998,AUSTRALIA,Unprovoked,M,1998.06.28-Chesser.pdf
2921,1998,AUSTRALIA,Unprovoked,M,1998.01.17-GregAnderson.pdf
2922,1998,BAHAMAS,Unprovoked,M,1998.08.15-Paffrath.pdf
2923,1998,BRAZIL,Unprovoked,M,1998.11.02.a-deFrietas.pdf
2924,1998,BRAZIL,Unprovoked,M,1998.10.04-JulioCesarDeBarrosCorreia.pdf
2925,1998,BRAZIL,Unprovoked,M,1998.07.26-Menezes.pdf
2926,1998,BRAZIL,Unprovoked,M,1998.04.01-BoaViagem.pdf
2927,1998,JAPAN,Provoked,M,1998.11.02.b-Kodama.pdf
2928,1998,MOZAMBIQUE,Unprovoked,F,1998.04.26-VonMollendorf.pdf
2929,1998,MOZAMBIQUE,Unprovoked,M,1998.01.14-Zornada.pdf
2930,1998,NEW CALEDONIA,Unprovoked,M,1998.01.28.a-Frederic_Marechal.pdf
2931,1998,REUNION,Unprovoked,M,1998.01.25.b-Blu.pdf
2932,1998,SENEGAL,Provoked,M,1998.09.00-Senegal.pdf
2933,1998,SOUTH AFRICA,Provoked,M,1998.08.12-Goosen.pdf
2934,1998,SOUTH AFRICA,Unprovoked,M,1998.12.20.R-Harrison.pdf
2935,1998,SOUTH AFRICA,Unprovoked,M,1998.12.18-vanderMerwe.pdf
2936,1998,SOUTH AFRICA,Unprovoked,M,1998.10.18-Victor.pdf
2937,1998,SOUTH AFRICA,Unprovoked,M,1998.09.16.R-Rielly.pdf
2938,1998,SOUTH AFRICA,Unprovoked,M,1998.08.01.b-RossTaylor.pdf
2939,1998,SOUTH AFRICA,Unprovoked,M,1998.08.01.a-Lombard.pdf
2940,1998,SOUTH AFRICA,Unprovoked,M,1998.07.06.b-ClarkThomas.pdf
2941,1998,SOUTH AFRICA,Unprovoked,M,1998.07.11-DarrenJames.pdf
2942,1998,SOUTH AFRICA,Unprovoked,M,1998.07.06.a-MarkThomas.pdf
2943,1998,SOUTH AFRICA,Unprovoked,M,1998.06.22-deVos.pdf
2944,1998,SOUTH AFRICA,Unprovoked,M,1998.06.05-Bravier.pdf
2945,1998,SOUTH AFRICA,Unprovoked,M,1998.05.30-Harrington.pdf
2946,1998,SOUTH AFRICA,Unprovoked,M,1998.05.29.b-Jucker.pdf
2947,1998,SOUTH AFRICA,Unprovoked,M,1998.05.29.a-Opperman.pdf
2948,1998,SOUTH AFRICA,Unprovoked,M,1998.05.16.a-Stephenson.pdf
2949,1998,SOUTH AFRICA,Unprovoked,M,1998.03.15-Dewey.pdf
2950,1998,SOUTH AFRICA,Unprovoked,M,1998.01.25.a-Vosloo.pdf
2951,1998,SOUTH AFRICA,Unprovoked,M,1998.00.00.c-Transkei.pdf
2952,1998,USA,Provoked,M,1998.12.24-AndyThompson.pdf
2953,1998,USA,Provoked,M,1998.04.17-Morrison.pdf
2954,1998,USA,Unprovoked,F,1998.10.24-Stephens.pdf
2955,1998,USA,Unprovoked,F,1998.05.16.c-Dickinson.pdf
2956,1998,USA,Unprovoked,M,1998.11.21-Tellasmon.pdf
2957,1998,USA,Unprovoked,M,1998.11.14-LarryFoor.pdf
2958,1998,USA,Unprovoked,M,1998.11.11-NV-IndianRiverCounty.pdf
2959,1998,USA,Unprovoked,M,1998.11.05-Inskeep_Collier.pdf
2960,1998,USA,Unprovoked,M,1998.10.10-Ruszkowski.pdf
2961,1998,USA,Unprovoked,M,1998.10.01.a-Duncan.pdf
2962,1998,USA,Unprovoked,M,1998.09.27-KaiHaire.pdf
2963,1998,USA,Unprovoked,M,1998.09.22-Blackstock.pdf
2964,1998,USA,Unprovoked,M,1998.09.14-DannyHoopes.pdf
2965,1998,USA,Unprovoked,M,1998.08.30-Howington.pdf
2966,1998,USA,Unprovoked,M,1998.08.26-Kathrein_Collier.pdf
2967,1998,USA,Unprovoked,M,1998.08.23.R-VirginiaBeach.pdf
2968,1998,USA,Unprovoked,M,1998.08.13-Parcus.pdf
2969,1998,USA,Unprovoked,M,1998.07.25-Rinto.pdf
2970,1998,USA,Unprovoked,M,1998.06.08-Catarra.pdf
2971,1998,USA,Unprovoked,M,1998.05.25-Mounteer.pdf
2972,1998,USA,Unprovoked,M,1998.05.16.b-Moore.pdf
2973,1998,USA,Unprovoked,M,1998.04.21-Forse_Collier.pdf
2974,1998,USA,Unprovoked,M,1998.03.31-JensenBeach.pdf
2975,1998,USA,Unprovoked,M,1998.03.08-Welch.pdf
2976,1998,USA,Unprovoked,M,1998.02.23-Wilson.pdf
2977,1998,USA,Unprovoked,M,1998.00.00.a-VirginiaBargeSpearfisherman.pdf
2978,1999,AUSTRALIA,Unprovoked,F,1999.01.03.R-Turcotte.pdf
2979,1999,AUSTRALIA,Unprovoked,M,1999.05.29-Donoghue.pdf
2980,1999,AUSTRALIA,Unprovoked,M,1999.02.23-ScottsHead.pdf
2981,1999,BAHAMAS,Unprovoked,M,1999.08.05-KevinKing.pdf
2982,1999,BRAZIL,Unprovoked,M,1999.12.06-Brazilian-diver.pdf
2983,1999,BRAZIL,Provoked,M,1999.03.18.b-Cartamil.pdf
2984,1999,BRAZIL,Unprovoked,M,1999.12.26-Cicero.pdf
2985,1999,BRAZIL,Unprovoked,M,1999.11.06-Brazilian-diver.pdf
2986,1999,BRAZIL,Unprovoked,M,1999.05.01-Pires.pdf
2987,1999,MARSHALL ISLANDS,Unprovoked,M,1999.11.00.b-Bayo.pdf
2988,1999,MARSHALL ISLANDS,Unprovoked,M,1999.11.00.a-Morson.pdf
2989,1999,MARSHALL ISLANDS,Unprovoked,M,1999.08.23-Joel.pdf
2990,1999,MAURITIUS,Unprovoked,F,1999.04.22-Lanner.pdf
2991,1999,MAURITIUS,Unprovoked,M,1999.01.29-Mauritius.pdf
2992,1999,NEW CALEDONIA,Unprovoked,M,1999.03.14.b-Wouanena.pdf
2993,1999,NEW ZEALAND,Provoked,M,1999.03.14.a-Spain.pdf
2994,1999,NEW ZEALAND,Unprovoked,F,1999.12.31.b-McDowell.pdf
2995,1999,NEW ZEALAND,Unprovoked,F,1999.12.31.a-Hayward.pdf
2996,1999,NEW ZEALAND,Unprovoked,M,1999.12.31.c-Wildl.pdf
2997,1999,NEW ZEALAND,Unprovoked,M,1999.03.18.R-ZaneSmith-X.pdf
2998,1999,REUNION,Unprovoked,M,1999.04.11-Oudin.pdf
2999,1999,SOUTH AFRICA,Unprovoked,M,1999.11.13-Grenfell.pdf
3000,1999,SOUTH AFRICA,Unprovoked,M,1999.07.29-Capri.pdf
3001,1999,SOUTH AFRICA,Unprovoked,M,1999.07.15-Pretorius.pdf
3002,1999,SOUTH AFRICA,Unprovoked,M,1999.07.03-Grey.pdf
3003,1999,SOUTH AFRICA,Unprovoked,M,1999.01.13-Ridge.pdf
3004,1999,SOUTH AFRICA,Unprovoked,M,1999.00.00.b-Lootz.pdf
3005,1999,USA,Unprovoked,M,1999.12.14-Hong.pdf
3006,1999,USA,Unprovoked,M,1999.00.00.a-NV-SandridgeBeach.pdf
3007,1999,USA,Provoked,M,1999.09.04.b-Patterson.pdf
3008,1999,USA,Unprovoked,F,1999.11.23-Boyette.pdf
3009,1999,USA,Unprovoked,F,1999.09.16-Ferguson.pdf
3010,1999,USA,Unprovoked,F,1999.09.10-Warnock.pdf
3011,1999,USA,Unprovoked,F,1999.07.04-LisaAlexander.pdf
3012,1999,USA,Unprovoked,F,1999.03.18.a-Davoodabai.pdf
3013,1999,USA,Unprovoked,F,1999.03.05-Knutson.pdf
3014,1999,USA,Unprovoked,M,1999.12.02-BoyntonBeach-surfer.pdf
3015,1999,USA,Unprovoked,M,1999.11.30-Wyche.pdf
3016,1999,USA,Unprovoked,M,1999.11.15-JackWolf_Collier.pdf
3017,1999,USA,Unprovoked,M,1999.10.30.b-Dolsky.pdf
3018,1999,USA,Unprovoked,M,1999.10.30.a-TroyJesse.pdf
3019,1999,USA,Unprovoked,M,1999.10.20-Hunt.pdf
3020,1999,USA,Unprovoked,M,1999.10.01-Spencer.pdf
3021,1999,USA,Unprovoked,M,1999.09.29-Borges.pdf
3022,1999,USA,Unprovoked,M,1999.09.05-Sprague.pdf
3023,1999,USA,Unprovoked,M,1999.09.04.a-Crabtree.pdf
3024,1999,USA,Unprovoked,M,1999.08.26-Ayers.pdf
3025,1999,USA,Unprovoked,M,1999.08.24-FortFisher.pdf
3026,1999,USA,Unprovoked,M,1999.08.21-GC.pdf
3027,1999,USA,Unprovoked,M,1999.08.16-Handley.pdf
3028,1999,USA,Unprovoked,M,1999.08.05-Adkins.pdf
3029,1999,USA,Unprovoked,M,1999.07.26-Knowles.pdf
3030,1999,USA,Unprovoked,M,1999.07.21-Yamaguchi.pdf
3031,1999,USA,Unprovoked,M,1999.07.06-NV-Morsy.pdf
3032,1999,USA,Unprovoked,M,1999.06.19-Bass.pdf
3033,1999,USA,Unprovoked,M,1999.06.17-Bryant.pdf
3034,1999,USA,Unprovoked,M,1999.06.12-AtlanticBeach.pdf
3035,1999,USA,Unprovoked,M,1999.06.09-Wellborn.pdf
3036,1999,USA,Unprovoked,M,1999.04.01-HobeSoundSurfer.pdf
3037,1999,USA,Unprovoked,M,1999.03.08-NV-Allen.pdf
3038,1999,USA,Unprovoked,M,1999.02.03-KennyBurns.pdf
